file_name,Project,Switchboard,# Sections,Amperage
01-MSB SECTION 3 v7 METAL_RELEASE.csv,26-301,MSB,3,2000
01-MSB SECTION1 v26 METAL_RELEASE.csv,26-301,MSB,3,2000
01-MSB SECTION2 v13 METAL_RELEASE.csv,26-301,MSB,3,2000
02-MSA SECTION1 v20 METAL_RELEASE.csv,26-301,MSA,2,3000
02-MSA SECTION2 v13 METAL_RELEASE.csv,26-301,MSA,2,3000
12-DPH-07F SEC1 v17 METAL_RELEASE.csv,25-232,DPH-07F,2,2000
12-DPH-07F SEC2 v22 METAL_RELEASE.csv,25-232,DPH-07F,2,2000
13-DPH-RA SEC1 v5 METAL_RELEASE.csv,25-232,DPH-RA,2,2000
13-DPH-RA SEC2 v7 METAL_RELEASE.csv,25-232,DPH-RA,2,2000
15-E2DPH-07A SEC1 v9 METAL_RELEASE.csv,25-232,E2DPH-07A,2,2000
15-E2DPH-07A SEC2 v6 METAL_RELEASE.csv,25-232,E2DPH-07A,2,2000
25-132-01_MSW1 v35 METAL_RELEASE.csv,25-132,MSW1,1,2500
25-132-02_HSW-MDP v75 METAL_RELEASE.csv,25-132,HSW MDP,3,1200
25-135-01_MSBR-S v89 METAL_RELEASE.csv,25-135,MSBR-S,2,4000
25-135-02_MSBR-N v89 METAL_RELEASE.csv,25-135,MSBR-N,2,4000
25-135-03_MSBH v105 METAL_RELEASE.xlsx,25-135,MSBH,4,3000
25-179-01_MDS-01 v93 METAL_RELEASE.csv,25-179,MDS,2,1600
25-179-01_MDS-02 v40 METAL_RELEASE.csv,25-179,MDS,2,1600
25-181-01_MSBA v52 METAL_RELEASE.xlsx,25-181,MSBA,2,4000
25-181-02_MSBH v59 METAL_RELEASE.xlsx,25-181,MSBH,3,4000
25-181-03_MSBE v64 METAL_RELEASE.xlsx,25-181,MSBE,2,2000
25-201-01_MAIN-1 v23 METAL_RELEASE.csv,25-203,Main-1,1,2000
25-201-02_MAIN-2 v3 METAL_RELEASE.csv,25-203,Main-2,1,4000
25-201-03_MAIN-3 v1 METAL_RELEASE.csv,25-203,Main-3,1,3000
25-201-04_MAIN-4 v1 METAL_RELEASE.csv,25-203,Main-4,1,3000
25-204-01-ASSY v7 METAL_RELEASE.csv,25-204,MSB4AR,5,4000
25-204-02-assy v7 METAL_RELEASE.csv,25-204,MSB4AH,4,2500
25-204-03-assy v4 METAL_RELEASE.csv,25-204,MSB4BR,4,2500
25-204-04-S1 v9 METAL_RELEASE.csv,25-204,MSB4BH,4,2000
25-204-04-S2 v15 METAL_RELEASE.csv,25-204,MSB4BH,4,2000
25-204-04-S3 v22 METAL_RELEASE.csv,25-204,MSB4BH,4,2000
25-204-04-S4 v13 METAL_RELEASE.csv,25-204,MSB4BH,4,2000
25-205 MSBR S1 v26 METAL_RELEASE.csv,25-205,MSBR,2,4000
25-205 MSBR S2 v57 METAL_RELEASE.csv,25-205,MSBR,2,4000
25-205-02_MSBH v80 METAL_RELEASE.xlsx,25-205,MSBH,3,2000
25-206-01_A1HSW v33 METAL_RELEASE.xlsx,25-206,A1HSW,2,3000
25-206-02_A2HSW v33 METAL_RELEASE.xlsx,25-206,A2HSW,2,3000
25-206-03_A3HSW v2 METAL_RELEASE.xlsx,25-206,A3HSW,2,3000
25-206-04_BHSW v3 METAL_RELEASE.xlsx,25-206,BHSW,2,3000
25-206-05_CHSW v3 METAL_RELEASE.xlsx,25-206,CHSW,2,3000
25-210-01_NMSBH v47 METAL_RELEASE.xlsx,25-210,NMSBH,3,3000
25-210-02_NMSBE v57 METAL_RELEASE.xlsx,25-210,NMSBE,3,1600
25-210-03_NMSBR v53 METAL_RELEASE.xlsx,25-210,NMSBR,4,4000
25-226-01_MSA v101 METAL_RELEASE.xlsx,25-226,MSA,5,4000
25-226-02_DHC v17 METAL_RELEASE.xlsx,25-226,DHC,1,1600
25-226-03_DLC v42 METAL_RELEASE.xlsx,25-226,DLC,2,1600
25-255-01_MSB-E v72 METAL_RELEASE.xlsx,25-255,MSB-E,3,1600
25-255-02_MSB-FG v89 METAL_RELEASE.xlsx,25-255,MSB-F,5,3000
25-261-01_LHP v37 METAL_RELEASE.xlsx,25-261,LHP,3,2000
25-261-02_SCT v34 METAL_RELEASE.xlsx,25-261,SCT,3,2000
25-261-03_S3A v58 METAL_RELEASE.xlsx,25-261,S3A,4,4000
25-261-04_NAW v28 METAL_RELEASE.xlsx,25-261,NAW,1,1600
25-265-01-ASSY v3 METAL_RELEASE.csv,25-265,SB2,2,2000
25-275-04-GSB1 SEC1 v12 METAL_RELEASE.csv,25-275,GSB-1,3,1600
25-275-04-GSB1 SEC2 v13 METAL_RELEASE.csv,25-275,GSB-1,3,1600
25-275-04-GSB1 SECTION 3 v5 METAL_RELEASE.csv,25-275,GSB-1,3,1600
25-275-05-TDGP SEC1 v9 METAL_RELEASE.csv,25-275,TGDP,2,1200
25-275-05-TDGP SEC2 v10 METAL_RELEASE.csv,25-275,TGDP,2,1200
26-0008-01-S1 v13 METAL_RELEASE.csv,26-0008,MSB,2,2000
26-0008-01-S2 v14 METAL_RELEASE.csv,26-0008,MSB,2,2000
26-0009-02_MSB v43 METAL_RELEASE.csv,26-0009,MSB,2,4000
26-0009-03_MSC v2 METAL_RELEASE.csv,26-0009,MSC,2,4000
26-0401-01-ASSY v3 METAL_RELEASE.csv,26-0401,PDU,2,1600
26-0507-01-S1 v17 METAL_RELEASE.csv,26-0507,SWB1A,2,3000
26-0507-01-S2 v14 METAL_RELEASE.csv,26-0507,SWB1A,2,3000
