Source File,Material,Total Quantity,Unit
25-135-01_MSBR-S v89 METAL_RELEASE.csv,G12 GALVND ST,144.7054507,FT²
25-135-01_MSBR-S v89 METAL_RELEASE.csv,G14 GALVND ST,176.3044208,FT²
25-135-01_MSBR-S v89 METAL_RELEASE.csv,5 x .25 CU BAR,232.2816667,LINEAR FT
25-135-01_MSBR-S v89 METAL_RELEASE.csv,4 x .25 CU BAR,9.015,LINEAR FT
25-135-02_MSBR-N v89 METAL_RELEASE.csv,G12 GALVND ST,144.7054507,FT²
25-135-02_MSBR-N v89 METAL_RELEASE.csv,G14 GALVND ST,176.3044208,FT²
25-135-02_MSBR-N v89 METAL_RELEASE.csv,5 x .25 CU BAR,232.2816667,LINEAR FT
25-135-02_MSBR-N v89 METAL_RELEASE.csv,4 x .25 CU BAR,9.015,LINEAR FT
25-135-03_MSBH v105 METAL_RELEASE.xlsx,G12 GALVND ST,281.87538680555576,FT²
25-135-03_MSBH v105 METAL_RELEASE.xlsx,G14 GALVND ST,283.090901388889,FT²
25-135-03_MSBH v105 METAL_RELEASE.xlsx,6 x .25 CU BAR,317.13916666666665,FT
25-135-03_MSBH v105 METAL_RELEASE.xlsx,4 x .25 CU BAR,13.785833333333334,FT
25-181-01_MSBA v52 METAL_RELEASE.xlsx,G12 GALVND ST,153.39450069444442,FT²
25-181-01_MSBA v52 METAL_RELEASE.xlsx,G14 GALVND ST,181.1567590277778,FT²
25-181-01_MSBA v52 METAL_RELEASE.xlsx,5 x .25 CU BAR,220.76166666666657,FT
25-181-01_MSBA v52 METAL_RELEASE.xlsx,3 x .25 CU BAR,7.5,FT
25-181-02_MSBH v59 METAL_RELEASE.xlsx,G12 GALVND ST,225.33948194444443,FT²
25-181-02_MSBH v59 METAL_RELEASE.xlsx,G14 GALVND ST,222.1627055555556,FT²
25-181-02_MSBH v59 METAL_RELEASE.xlsx,5 x .25 CU BAR,310.07333333333315,FT
25-181-02_MSBH v59 METAL_RELEASE.xlsx,3 x .25 CU BAR,11.744166666666667,FT
25-181-02_MSBH v59 METAL_RELEASE.xlsx,2 x .25 CU BAR,1.3333333333333333,FT
25-181-03_MSBE v64 METAL_RELEASE.xlsx,G12 GALVND ST,148.03883819444434,FT²
25-181-03_MSBE v64 METAL_RELEASE.xlsx,G14 GALVND ST,159.10940625,FT²
25-181-03_MSBE v64 METAL_RELEASE.xlsx,4 x .25 CU BAR,135.3008333333334,FT
25-181-03_MSBE v64 METAL_RELEASE.xlsx,2 x .25 CU BAR,10.340833333333334,FT
25-201-03_MAIN-3 v1 METAL_RELEASE.csv,G12 GALVND ST,66.73965903,FT²
25-201-03_MAIN-3 v1 METAL_RELEASE.csv,G14 GALVND ST,87.90441806,FT²
25-201-03_MAIN-3 v1 METAL_RELEASE.csv,5 x .25 CU BAR,90.48166667,FT
25-201-03_MAIN-3 v1 METAL_RELEASE.csv,3 x .25 CU BAR,4.598333333,FT
25-201-03_MAIN-3 v1 METAL_RELEASE.csv,.75 GPO-3,1.458333333,FT²
25-201-03_MAIN-3 v1 METAL_RELEASE.csv,2 x .25 CU BAR,5.919166667,FT
25-201-04_MAIN-4 v1 METAL_RELEASE.csv,G12 GALVND ST,66.73965903,FT²
25-201-04_MAIN-4 v1 METAL_RELEASE.csv,G14 GALVND ST,87.90441806,FT²
25-201-04_MAIN-4 v1 METAL_RELEASE.csv,5 x .25 CU BAR,90.48166667,FT
25-201-04_MAIN-4 v1 METAL_RELEASE.csv,3 x .25 CU BAR,4.598333333,FT
25-201-04_MAIN-4 v1 METAL_RELEASE.csv,.75 GPO-3,1.458333333,FT²
25-201-04_MAIN-4 v1 METAL_RELEASE.csv,2 x .25 CU BAR,5.919166667,FT
25-205-02_MSBH v80 METAL_RELEASE.xlsx,G12 GALVND ST,191.3824993055556,FT²
25-205-02_MSBH v80 METAL_RELEASE.xlsx,G14 GALVND ST,199.11769166666667,FT²
25-205-02_MSBH v80 METAL_RELEASE.xlsx,4 x .25 CU BAR,116.37916666666668,FT
25-205-02_MSBH v80 METAL_RELEASE.xlsx,2 x .25 CU BAR,10.885,FT
25-206-01_A1HSW v33 METAL_RELEASE.xlsx,G12 GALVND ST,145.6037590277777,FT²
25-206-01_A1HSW v33 METAL_RELEASE.xlsx,G14 GALVND ST,157.76386250000002,FT²
25-206-01_A1HSW v33 METAL_RELEASE.xlsx,6 x .25 CU BAR,169.9658333333334,FT
25-206-01_A1HSW v33 METAL_RELEASE.xlsx,3 x .25 CU BAR,8.431666666666667,FT
25-206-02_A2HSW v33 METAL_RELEASE.xlsx,G12 GALVND ST,145.6037590277777,FT²
25-206-02_A2HSW v33 METAL_RELEASE.xlsx,G14 GALVND ST,157.76386250000002,FT²
25-206-02_A2HSW v33 METAL_RELEASE.xlsx,6 x .25 CU BAR,169.9658333333334,FT
25-206-02_A2HSW v33 METAL_RELEASE.xlsx,3 x .25 CU BAR,8.431666666666667,FT
25-206-03_A3HSW v2 METAL_RELEASE.xlsx,G12 GALVND ST,145.6037590277777,FT²
25-206-03_A3HSW v2 METAL_RELEASE.xlsx,G14 GALVND ST,162.22683611111108,FT²
25-206-03_A3HSW v2 METAL_RELEASE.xlsx,6 x .25 CU BAR,169.9658333333334,FT
25-206-03_A3HSW v2 METAL_RELEASE.xlsx,3 x .25 CU BAR,8.431666666666667,FT
25-206-04_BHSW v3 METAL_RELEASE.xlsx,G12 GALVND ST,145.6037590277777,FT²
25-206-04_BHSW v3 METAL_RELEASE.xlsx,G14 GALVND ST,158.855725,FT²
25-206-04_BHSW v3 METAL_RELEASE.xlsx,6 x .25 CU BAR,169.9658333333334,FT
25-206-04_BHSW v3 METAL_RELEASE.xlsx,3 x .25 CU BAR,8.431666666666667,FT
25-206-05_CHSW v3 METAL_RELEASE.xlsx,G12 GALVND ST,145.6037590277777,FT²
25-206-05_CHSW v3 METAL_RELEASE.xlsx,G14 GALVND ST,161.01256527777775,FT²
25-206-05_CHSW v3 METAL_RELEASE.xlsx,6 x .25 CU BAR,169.9658333333334,FT
25-206-05_CHSW v3 METAL_RELEASE.xlsx,3 x .25 CU BAR,7.9316666666666675,FT
25-210-01_NMSBH v47 METAL_RELEASE.xlsx,G12 GALVND ST,151.1359215277779,FT²
25-210-01_NMSBH v47 METAL_RELEASE.xlsx,G14 GALVND ST,175.46623888888882,FT²
25-210-01_NMSBH v47 METAL_RELEASE.xlsx,5 x .25 CU BAR,174.07166666666652,FT
25-210-01_NMSBH v47 METAL_RELEASE.xlsx,3 x .25 CU BAR,9.473333333333334,FT
25-210-01_NMSBH v47 METAL_RELEASE.xlsx,2 x .25 CU BAR,2.42,FT
25-210-02_NMSBE v57 METAL_RELEASE.xlsx,G12 GALVND ST,149.1165722222223,FT²
25-210-02_NMSBE v57 METAL_RELEASE.xlsx,G14 GALVND ST,158.79633958333335,FT²
25-210-02_NMSBE v57 METAL_RELEASE.xlsx,3 x .25 CU BAR,8.285833333333334,FT
25-210-02_NMSBE v57 METAL_RELEASE.xlsx,4 x .25 CU BAR,137.56416666666658,FT
25-210-02_NMSBE v57 METAL_RELEASE.xlsx,2 x .25 CU BAR,8.777500000000002,FT
25-210-03_NMSBR v53 METAL_RELEASE.xlsx,G12 GALVND ST,263.0750284722221,FT²
25-210-03_NMSBR v53 METAL_RELEASE.xlsx,G14 GALVND ST,225.87178402777772,FT²
25-210-03_NMSBR v53 METAL_RELEASE.xlsx,3 x .25 CU BAR,11.9525,FT
