Source File,Material,Component Name,Width (in),Height (in),Quantity
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1002_26-301_01_03,33.79,5.64,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(2x) FRM-1012_26-301_01_03,39.82,6.39,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1002_26-301_01_03,33.79,5.64,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1002_26-301_01_03,33.79,5.64,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1003_26-301_01_03,90,7.8,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1003_26-301_01_03,90,7.8,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1003_26-301_01_03,90,7.8,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1003_26-301_01_03,90,7.8,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1002_26-301_01_03,33.79,5.64,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(2x) FRM-1012_26-301_01_03,39.82,6.39,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(2x) FRM-1007-90-5_26-301_01_03,5.14,5,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(2x) FRM-1007-90-5_26-301_01_03,5.14,5,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(3x) FRM-1006 v10_26-301_01_03,37.89,6.85,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(2x) FRM-GRND_26-301_01_03,3,2.82,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(3x) FRM-1006 v10_26-301_01_03,37.89,6.85,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(2x) FRM-1007-04-3Ph v1_26-301_01_03,16.5,5.14,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(2x) FRM-1007-04-3Ph v1_26-301_01_03,16.5,5.14,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(2x) FRM-GRND_26-301_01_03,3,2.82,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(3x) FRM-1006 v10_26-301_01_03,37.89,6.85,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1001_26-301_01_03,37.97,8.79,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1001_26-301_01_03,37.97,8.79,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1001_26-301_01_03,37.97,8.79,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1001_26-301_01_03,37.97,8.79,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,PNL-38-36-TOP_26-301_01_03,36,38,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(2x) FRM-1014-46Xv3_26-301_01_03,56.09,2.69,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1015_26-301_01_03,14.64,2,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1015_26-301_01_03,14.64,2,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(2x) FRM-1014-46Xv3_26-301_01_03,56.09,2.69,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1015_26-301_01_03,14.64,2,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,Galvanneal Steel G12,(4x) FRM-1015_26-301_01_03,14.64,2,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,G12 GALVND ST,FRM-1004 v1_26-301_01_03,86.64,7.14,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,G12 GALVND ST,FRM-1004_26-301_01_03,86.64,7.14,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,G12 GALVND ST,(2x) FRM-1099-1.5_26-301_01_03,9.48,2.47,
01-MSB SECTION 3 v7 METAL_RELEASE.csv,G12 GALVND ST,(2x) FRM-1099-1.5_26-301_01_03,9.48,2.47,
